step,analysis,quantity,value,ci_low,ci_high,n,test,statistic,df,p_value,effect_size_name,effect_size,notes
4,tau_change_from_baseline,sham_delta_t24,0.8714186700338413,-0.0799771880072403,1.822814528074923,43.0,paired t-test vs own pre-injury baseline,1.8484357048921916,42,0.07158796639602774,Cohen's dz,0.2818838023477996,
4,tau_change_from_baseline,low_impact_delta_t0.5,3.741964602702709,2.767011602273647,4.716917603131771,43.0,paired t-test vs own pre-injury baseline,7.745594191704917,42,1.2718760997695538e-09,Cohen's dz,1.1811920406115266,
4,tau_change_from_baseline,low_impact_delta_t1,2.9217368477014363,1.6319828597624222,4.211490835640451,45.0,paired t-test vs own pre-injury baseline,4.56550145142365,44,3.989648611517166e-05,Cohen's dz,0.680584773117149,
4,tau_change_from_baseline,low_impact_delta_t5,1.7181493732369995,0.638244712806626,2.798054033667373,44.0,paired t-test vs own pre-injury baseline,3.208596615125577,43,0.0025215026676276985,Cohen's dz,0.48371413981708694,
4,tau_change_from_baseline,low_impact_delta_t24,0.5659288575316306,-0.32583835901340186,1.457696074076663,44.0,paired t-test vs own pre-injury baseline,1.2798231322336575,43,0.2074694434525958,Cohen's dz,0.19294059671074754,
4,tau_change_from_baseline,high_impact_delta_t0.5,-2.7191041297665706,-3.5876565885320724,-1.8505516710010688,40.0,paired t-test vs own pre-injury baseline,-6.332268337286703,39,1.79036063323683e-07,Cohen's dz,-1.001219535059665,
4,tau_change_from_baseline,high_impact_delta_t1,-2.180813262797923,-3.153941636792415,-1.2076848888034315,42.0,paired t-test vs own pre-injury baseline,-4.525858921391671,41,5.0787691950568383e-05,Cohen's dz,-0.6983551930265549,
4,tau_change_from_baseline,high_impact_delta_t5,-1.5023706722078203,-2.5332473273667087,-0.4714940170489319,43.0,paired t-test vs own pre-injury baseline,-2.9410955707075765,42,0.005301093741033661,Cohen's dz,-0.4485128697444615,
4,tau_change_from_baseline,high_impact_delta_t24,-1.5985790307537193,-2.4420193148900333,-0.7551387466174052,42.0,paired t-test vs own pre-injury baseline,-3.827651948592293,41,0.00043427081487029255,Cohen's dz,-0.5906195181567196,
4,tau_change_from_baseline,low_vs_high_delta_t0.5,6.461068732469279,,,83.0,"Welch t-test, low vs high impact delta-tau at 0.5 h",9.996071599524559,,9.239157375232404e-16,Cohen's d,2.1897856257941877,the two doses move tau in opposite directions; this is why dose must be a predictor
