predictor,dose,pre_tau,dtau_0.5,dtau_24
dose,1.0,-0.10772312241957979,-0.7395329674971312,-0.33783980315480777
pre_tau,-0.10772312241957979,1.0,-0.08115175995707448,-0.3007605245855214
dtau_0.5,-0.7395329674971312,-0.08115175995707448,1.0,0.6802949450665923
dtau_24,-0.33783980315480777,-0.3007605245855214,0.6802949450665923,1.0
