fish_id,group,clutch,tau_-1,tau_0.5,tau_24,loco_-1,loco_0.5,loco_24,pre_tau,baseline_locomotion_pre,dtau_0.5,dtau_24,converted,burst_events_per_hour,ptz_challenged,dose
zf_001,sham,clutch_A,3.6244804236698585,2.5597494863960293,2.6916795871778048,102.67,98.84,102.12,3.6244804236698585,102.67,-1.0647309372738292,-0.9328008364920537,1,5.98,0,0
zf_002,sham,clutch_A,4.737296841336953,6.622099216796096,5.992751250476882,103.21,106.21,102.98,4.737296841336953,103.21,1.8848023754591434,1.2554544091399293,0,0.74,1,0
zf_003,sham,clutch_A,7.7873890031674184,6.98081433538454,5.889126707014374,101.5,104.51,100.17,7.7873890031674184,101.5,-0.8065746677828782,-1.8982622961530442,0,0.81,1,0
zf_004,sham,clutch_A,5.7566102584039225,3.4722827998520325,5.801178279541709,97.96,96.84,102.74,5.7566102584039225,97.96,-2.28432745855189,0.04456802113778657,0,0.42,0,0
zf_006,sham,clutch_A,7.329587166659324,6.297288255886367,5.956537569048308,101.4,103.58,99.22,7.329587166659324,101.4,-1.0322989107729565,-1.3730495976110157,0,1.79,1,0
zf_007,sham,clutch_A,5.180603219446142,5.339109593327672,4.719197464466694,112.84,103.68,108.58,5.180603219446142,112.84,0.15850637388153022,-0.4614057549794479,0,0.05,0,0
zf_008,sham,clutch_A,7.6247586028864545,5.102516054749643,6.2178257304791265,101.87,100.22,108.59,7.6247586028864545,101.87,-2.522242548136812,-1.406932872407328,0,0.76,0,0
zf_009,sham,clutch_A,4.406807831683197,8.321887222882467,15.059472528032051,101.31,101.88,103.27,4.406807831683197,101.31,3.91507939119927,10.652664696348854,0,0.21,0,0
zf_010,sham,clutch_A,11.43637022655263,6.099420884579843,5.8128610937130905,103.74,111.93,104.01,11.43637022655263,103.74,-5.336949341972786,-5.623509132839539,0,1.33,1,0
zf_011,sham,clutch_A,5.29174577225875,16.498385481194045,8.540239293279255,99.94,109.29,97.94,5.29174577225875,99.94,11.206639708935295,3.248493521020505,0,0.22,0,0
zf_012,sham,clutch_A,6.825173226992097,5.2818902170502975,5.5690692370666754,103.85,98.06,98.84,6.825173226992097,103.85,-1.5432830099417991,-1.2561039899254212,0,1.33,1,0
zf_013,sham,clutch_A,5.60301390357586,4.683247597694378,6.16838121819686,103.65,91.56,101.66,5.60301390357586,103.65,-0.919766305881482,0.5653673146209997,0,1.26,1,0
zf_014,sham,clutch_A,7.090078701041476,5.338222807075919,6.067753983849791,102.48,96.7,113.2,7.090078701041476,102.48,-1.7518558939655566,-1.022324717191685,0,0.32,0,0
zf_015,sham,clutch_A,5.121572493917326,10.43670228056817,7.88788380550424,108.53,106.82,109.29,5.121572493917326,108.53,5.315129786650844,2.7663113115869136,0,0.02,1,0
